1,1,96.54,13.14,2023-12-19 15:02:35,2023-12-19 14:03:04
2,2,95.98,12.02,2023-12-19 15:02:36,2023-12-19 13:54:32
3,3,97.18,9.09,2023-12-19 15:02:37,2023-12-19 14:10:54
4,4,99.29,9.97,2023-12-19 15:02:34,2023-12-19 14:50:16
5,5,93.67,11.31,2023-12-19 15:02:34,2023-12-19 13:16:25
6,6,99.64,11.16,2023-12-19 15:02:37,2023-12-19 14:56:18
7,7,95.16,10.95,2023-12-19 15:02:34,2023-12-19 13:35:35
8,9,94.06,11.49,2023-12-19 15:02:35,2023-12-19 13:23:01
9,10,97.11,10.58,2023-12-19 15:02:33,2023-12-19 14:12:43
10,11,93.19,13.93,2023-12-19 15:02:34,2023-12-19 13:04:57
11,12,95.21,9.44,2023-12-19 15:02:36,2023-12-19 13:37:24
12,13,93.59,12.76,2023-12-19 15:02:38,2023-12-19 13:13:51
13,14,95.28,20.9,2023-12-19 15:02:38,2023-12-19 13:36:47
14,15,97.47,13.1,2023-12-19 15:02:39,2023-12-19 14:17:54
15,16,95.46,9.96,2023-12-19 15:02:39,2023-12-19 13:45:31
16,17,93.83,13.26,2023-12-19 15:02:40,2023-12-19 13:50:40
17,18,96.51,9.74,2023-12-19 15:02:40,2023-12-19 14:02:40
18,19,98.08,8.99,2023-12-19 15:02:41,2023-12-19 14:29:39
19,20,94.51,13.84,2023-12-19 15:02:42,2023-12-19 13:24:30
20,21,99.23,8.56,2023-12-19 15:02:41,2023-12-19 14:49:34
21,22,97.79,10.99,2023-12-19 15:02:43,2023-12-19 14:23:59
22,23,93.02,9.52,2023-12-19 15:02:42,2023-12-19 13:03:26
23,24,99.66,11.38,2023-12-19 15:02:43,2023-12-19 14:56:47
24,25,98.88,13.04,2023-12-19 15:02:43,2023-12-19 14:44:00
25,26,96.38,11.57,2023-12-19 15:02:44,2023-12-19 13:58:41
26,27,97.82,14.13,2023-12-19 15:02:45,2023-12-19 14:23:18
27,28,99.75,10.74,2023-12-19 15:02:45,2023-12-19 14:58:20
28,29,98.46,12.39,2023-12-19 15:02:46,2023-12-19 14:37:02
29,30,93.75,10.8,2023-12-19 15:02:46,2023-12-19 13:11:24
30,31,96.27,14.49,2023-12-19 15:02:47,2023-12-19 13:55:19
31,32,93.25,13.34,2023-12-19 15:02:47,2023-12-19 13:05:43
32,33,98.04,10.59,2023-12-19 15:02:48,2023-12-19 14:29:54
33,34,96.69,13.52,2023-12-19 15:02:48,2023-12-19 14:05:58
34,35,95.41,13.38,2023-12-19 15:02:49,2023-12-19 13:44:15
35,36,94.67,12.89,2023-12-19 15:02:49,2023-12-19 13:32:46
36,38,97.76,11.07,2023-12-19 15:02:50,2023-12-19 14:23:43
37,39,95.72,11.05,2023-12-19 15:02:50,2023-12-19 13:46:06
38,40,97.34,13.37,2023-12-19 15:02:51,2023-12-19 14:18:23
39,41,96.83,9.05,2023-12-19 15:02:52,2023-12-19 14:05:38
40,42,95.65,11.72,2023-12-19 15:02:52,2023-12-19 13:45:13
41,43,99.24,9.84,2023-12-19 15:02:52,2023-12-19 14:49:43
42,45,94.84,9.54,2023-12-19 15:02:53,2023-12-19 13:32:40
43,46,96.61,8.97,2023-12-19 15:02:52,2023-12-19 14:04:23
44,47,97.22,13.29,2023-12-19 15:02:53,2023-12-19 14:12:39
45,48,92.06,13.33,2023-12-19 15:02:53,2023-12-19 13:30:18
46,49,98.14,14.88,2023-12-19 15:02:53,2023-12-19 14:31:09
47,50,96.46,9.35,2023-12-19 15:02:54,2023-12-19 14:02:15
48,51,96.52,13.14,2023-12-19 15:02:55,2023-12-19 14:03:04
49,1,96.54,13.14,2023-12-19 15:02:35,2023-12-19 14:03:04
50,2,95.98,12.02,2023-12-19 15:02:36,2023-12-19 13:54:32
51,3,97.18,9.09,2023-12-19 15:02:37,2023-12-19 14:10:54
52,4,99.29,9.97,2023-12-19 15:02:34,2023-12-19 14:50:16
53,5,93.67,11.31,2023-12-19 15:02:34,2023-12-19 13:16:25
54,6,99.64,11.16,2023-12-19 15:02:37,2023-12-19 14:56:18
55,7,95.16,10.95,2023-12-19 15:02:34,2023-12-19 13:35:35
56,9,94.06,11.49,2023-12-19 15:02:35,2023-12-19 13:23:01
57,10,97.11,10.58,2023-12-19 15:02:33,2023-12-19 14:12:43
58,11,93.19,13.93,2023-12-19 15:02:34,2023-12-19 13:04:57
59,12,95.21,9.44,2023-12-19 15:02:36,2023-12-19 13:37:24
60,13,93.59,12.76,2023-12-19 15:02:38,2023-12-19 13:13:51
61,14,95.28,20.9,2023-12-19 15:02:38,2023-12-19 13:36:47
62,15,97.47,13.1,2023-12-19 15:02:39,2023-12-19 14:17:54
63,16,95.46,9.96,2023-12-19 15:02:39,2023-12-19 13:45:31
64,17,93.83,13.26,2023-12-19 15:02:40,2023-12-19 13:50:40
65,18,96.51,9.74,2023-12-19 15:02:40,2023-12-19 14:02:40
66,19,98.08,8.99,2023-12-19 15:02:41,2023-12-19 14:29:39
67,20,94.51,13.84,2023-12-19 15:02:42,2023-12-19 13:24:30
68,21,99.23,8.56,2023-12-19 15:02:41,2023-12-19 14:49:34
69,22,97.79,10.99,2023-12-19 15:02:43,2023-12-19 14:23:59
70,23,93.02,9.52,2023-12-19 15:02:42,2023-12-19 13:03:26
71,24,99.66,11.38,2023-12-19 15:02:43,2023-12-19 14:56:47
72,25,98.88,13.04,2023-12-19 15:02:43,2023-12-19 14:44:00
73,26,96.38,11.57,2023-12-19 15:02:44,2023-12-19 13:58:41
74,27,97.82,14.13,2023-12-19 15:02:45,2023-12-19 14:23:18
75,28,99.75,10.74,2023-12-19 15:02:45,2023-12-19 14:58:20
76,29,98.46,12.39,2023-12-19 15:02:46,2023-12-19 14:37:02
77,30,93.75,10.8,2023-12-19 15:02:46,2023-12-19 13:11:24
78,31,96.27,14.49,2023-12-19 15:02:47,2023-12-19 13:55:19
79,32,93.25,13.34,2023-12-19 15:02:47,2023-12-19 13:05:43
80,33,98.04,10.59,2023-12-19 15:02:48,2023-12-19 14:29:54
81,34,96.69,13.52,2023-12-19 15:02:48,2023-12-19 14:05:58
82,35,95.41,13.38,2023-12-19 15:02:49,2023-12-19 13:44:15
83,36,94.67,12.89,2023-12-19 15:02:49,2023-12-19 13:32:46
84,38,97.76,11.07,2023-12-19 15:02:50,2023-12-19 14:23:43
85,39,95.72,11.05,2023-12-19 15:02:50,2023-12-19 13:46:06
86,40,97.34,13.37,2023-12-19 15:02:51,2023-12-19 14:18:23
87,41,96.83,9.05,2023-12-19 15:02:52,2023-12-19 14:05:38
88,42,95.65,11.72,2023-12-19 15:02:52,2023-12-19 13:45:13
89,43,99.24,9.84,2023-12-19 15:02:52,2023-12-19 14:49:43
90,45,94.84,9.54,2023-12-19 15:02:53,2023-12-19 13:32:40
91,46,96.61,8.97,2023-12-19 15:02:52,2023-12-19 14:04:23
92,47,97.22,13.29,2023-12-19 15:02:53,2023-12-19 14:12:39
93,48,92.06,13.33,2023-12-19 15:02:53,2023-12-19 13:30:18
94,49,98.14,14.88,2023-12-19 15:02:53,2023-12-19 14:31:09
95,50,96.46,9.35,2023-12-19 15:02:54,2023-12-19 14:02:15
96,51,96.52,13.14,2023-12-19 15:02:55,2023-12-19 14:03:04
97,1,96.54,13.14,2023-12-19 15:02:35,2023-12-19 14:03:04
98,2,95.98,12.02,2023-12-19 15:02:36,2023-12-19 13:54:32
99,3,97.18,9.09,2023-12-19 15:02:37,2023-12-19 14:10:54
100,4,99.29,9.97,2023-12-19 15:02:34,2023-12-19 14:50:16
101,5,93.67,11.31,2023-12-19 15:02:34,2023-12-19 13:16:25
102,6,99.64,11.16,2023-12-19 15:02:37,2023-12-19 14:56:18
103,7,95.16,10.95,2023-12-19 15:02:34,2023-12-19 13:35:35
104,9,94.06,11.49,2023-12-19 15:02:35,2023-12-19 13:23:01
105,10,97.11,10.58,2023-12-19 15:02:33,2023-12-19 14:12:43
106,11,93.19,13.93,2023-12-19 15:02:34,2023-12-19 13:04:57
107,12,95.21,9.44,2023-12-19 15:02:36,2023-12-19 13:37:24
108,13,93.59,12.76,2023-12-19 15:02:38,2023-12-19 13:13:51
109,14,95.28,20.9,2023-12-19 15:02:38,2023-12-19 13:36:47
110,15,97.47,13.1,2023-12-19 15:02:39,2023-12-19 14:17:54
111,16,95.46,9.96,2023-12-19 15:02:39,2023-12-19 13:45:31
112,17,93.83,13.26,2023-12-19 15:02:40,2023-12-19 13:50:40
113,18,96.51,9.74,2023-12-19 15:02:40,2023-12-19 14:02:40
114,19,98.08,8.99,2023-12-19 15:02:41,2023-12-19 14:29:39
115,20,94.51,13.84,2023-12-19 15:02:42,2023-12-19 13:24:30
116,21,99.23,8.56,2023-12-19 15:02:41,2023-12-19 14:49:34
117,22,97.79,10.99,2023-12-19 15:02:43,2023-12-19 14:23:59
118,23,93.02,9.52,2023-12-19 15:02:42,2023-12-19 13:03:26
119,24,99.66,11.38,2023-12-19 15:02:43,2023-12-19 14:56:47
120,25,98.88,13.04,2023-12-19 15:02:43,2023-12-19 14:44:00
121,26,96.38,11.57,2023-12-19 15:02:44,2023-12-19 13:58:41
122,27,97.82,14.13,2023-12-19 15:02:45,2023-12-19 14:23:18
123,28,99.75,10.74,2023-12-19 15:02:45,2023-12-19 14:58:20
124,29,98.46,12.39,2023-12-19 15:02:46,2023-12-19 14:37:02
125,30,93.75,10.8,2023-12-19 15:02:46,2023-12-19 13:11:24
126,31,96.27,14.49,2023-12-19 15:02:47,2023-12-19 13:55:19
